Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,c,dc,Om,dOm,N,dN,L,dL,nwav,dnwav,h,dh,visc,dvisc
(Cricket),110,10,-,-,-,-,20,-,13.3,3.4,266,68,-,-,1,-,870,31.6,-,-,0.9,-,1.2,-
(Guinea Pig),10.86,-,9.68,-,9.48,0.4,-,-,-,-,-,-,-,-,-,-,108.55,-,-,-,-,-,-,-
(Rabbit),8.285,0.225,4.8,0.2,272,14,41.6,4.2,18,0.9,748.8,84.36,-,-,-,-,47.755,1.755,-,-,3.3,0.3,-,-
(Rat),20.44,-,2.93,-,125,73,-,-,11.27,3,-,-,-,-,-,-,180.55,9.45,-,-,-,-,-,-
(Stallion),5.975,0.645,3.025,0.235,86.7,3.8,-,-,-,-,-,-,-,-,-,-,48.75,8.25,-,-,-,-,-,-
Acipenser baeri (siberian sturgeon),-,-,-,-,275,25,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aedes (mosquito),8.205,0.365,4.73,0.6,-,-,-,-,18.7,15.3,-,-,-,-,-,-,46,-,-,-,5,-,-,-
Aleochara curtula (beetle),15.4,0.44,7.214,-,9.45,5.75,10.75,3.75,23.15,16.05,248.86,193.15,-,-,-,-,84.8,12.81,-,-,1.45,0.65,-,-
Asterias amurensis (starfish),-,-,-,-,259,8,-,-,43.3,4.8,-,-,2.3,0.3,-,-,-,-,-,-,-,-,1,-
Bacillus (stick insect),-,-,-,-,58,42,18,12,14.45,13.55,160,140,-,-,-,-,-,-,-,-,9,6,-,-
Bos (bull),8.485,1.715,4.8,0.6,97,6,35.25,4.75,20.57,3.44,550,150,8.12,0.98,-,-,54.015,9.815,1,-,9.05,1.95,1.04,-
Bufo marinus (toad),7.6,-,0.69,-,22.12,15.9,20,-,11.74,3.2,234.8,64,-,-,-,-,21.51,-,-,-,2.88,1.13,-,-
Campanularia flexuosa (hydroid),3.5,-,0.81,-,165,15,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-
Carassius auratus (goldfish),4.2,0.06,4.3,0.06,109.4,9.8,-,-,-,-,-,-,-,-,-,-,41.6,11.3,-,-,-,-,-,-
Ceratitis capitata (fly),-,-,-,-,16,-,17.5,12.5,11,9,135,15,-,-,-,-,-,-,-,-,10.5,9.5,-,-
Chaetopterus (annelid),5.775,2.375,3.13,1.43,105,-,22.35,3.05,26,-,666.5,6.5,-,-,-,-,36,-,1.325,0.075,3.8,-,1.4,-
Ciona (tunicate),4.42,0.32,1.865,0.535,165,-,27,5,35,-,1096.25,26.25,-,-,-,-,47.5,-,1.435,0.135,4.5,0.2,1.4,-
Colobocentrotus (sea urchin),7.17,0.13,3.1,0.36,179.4,13.8,20.9,3,46,-,961.4,138,-,-,-,-,38.75,3.25,1.375,0.125,3.94,0.95,1.8,-
Columba livia (pigeon),16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,11.1,-,-,-,-,-,-
Coturnix coturnix var. japonica (quail),-,-,-,-,50,-,-,-,-,-,-,-,4,-,-,-,208,-,-,-,-,-,-,-
Culex (mosquito),14.15,0.45,0.48,-,6.3,-,15.5,-,-,-,-,-,-,-,-,-,41.2,-,3.3,-,2.6,-,-,-
Culicoides melleus (midge),15.7,0.4,7.355,-,8.3,-,31.4,22.7,8.2,-,75.67,4.33,-,-,-,-,173.2,1.17,16.8,-,1.9,1.1,-,-
Cyprinus carpio (carp),-,-,-,-,140,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dendraster excentricus (sand dollar),-,-,-,-,179.875,107.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dicentrarchus labrax (sea bass),-,-,-,-,120,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Didelphis (opossum),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Echinus microtuberculatus (sea urchin),-,-,-,-,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fugu (puffer fish),-,-,-,-,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gadus morhua (cod),2.7,0.9,1.9,0.4,124.9,76.6,21.6,-,53.5,1.5,1155.6,32.4,-,-,-,-,71,19.5,-,-,2.25,-,-,-
Gallus domesticus (domestic fowl),-,-,-,-,66.5,10.1,24.6,3.6,25.4,4.8,623.6,131.6,14.8,2.9,-,-,82,-,-,-,5.9,1.5,-,-
Hemicentrotus pulcherrimus (sea urchin),-,-,-,-,243,15,-,-,45.8,4.6,-,-,4.8,0.8,-,-,-,-,-,-,-,-,1,-
Hippoglossus hippoglossus (halibut),-,-,-,-,165,15,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Homo (human),5.305,0.805,3.225,0.225,30.8,11.1,32.1,12.7,13.975,8.075,253.8,76.9,-,-,-,-,52.95,3.25,1.25,0.25,-,-,-,-
Littorina sitkana (sea snail),27,-,1,-,109,91,-,-,-,-,-,-,-,-,-,-,25.4,-,-,-,-,-,2,-
Lygaeus (milkweed bug),5.02,0.22,0.85,0.15,-,-,13.75,0.75,120,10,1650,164.34,-,-,-,-,29.8,-,2.3,-,1.7,0.4,-,-
Lytechinus (sea urchin),6.325,1.225,2.935,0.035,158,-,26.3,3.7,30.05,0.05,877,23,-,-,-,-,43.5,-,1.45,-,4.65,0.05,1.4,-
Megaselia scalaris (fly),18.7,0.54,0.16,0.01,117.6,29.6,41,34,3.1,-,127.1,105.4,-,-,-,-,128.7,4.09,1.1,-,5.385,4.885,-,-
Merluccius merluccius (hake),3.3,0.6,3.1,0.5,93.5,36.5,16.5,4.4,55,2,907.5,244.24,-,-,-,-,42,8,2.25,1.75,5.5,2.5,-,-
Mesocricetus (hamster),14.5,0.7,2.75,0.25,6.75,0.15,-,-,7.75,1.6,-,-,-,-,-,-,213.25,36.75,-,-,-,-,-,-
Monodelphis domestica (opossum),17.65,-,8.77,-,304.5,71.5,-,-,-,-,-,-,-,-,-,-,237.94,-,-,-,-,-,-,-
Mus (mouse),8.34,1.1,3.84,0.64,-,-,57.5,7.5,13.2,2.5,759,174.5,-,-,-,-,123.7,10.3,1.2,-,15,-,-,-
Myzostomus (worm),30.8,4.55,14.428,-,45.4,18.3,28,3,18.3,2.9,512.4,98.0,20.9,4.4,-,-,52,2.5,-,-,1.7,0.6,1.83,-
Oikopleura dioica (tunicate),1,-,1,-,75.61,1.896,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-
Oncorhynchus mykiss (trout),-,-,-,-,220,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ostrea (oyster),2.6,-,2.8,-,166.4,2.6,25.6,-,43,-,1100.8,-,-,-,-,-,47,-,-,-,4.7,-,-,-
Ovis (ram),10.6,-,6.2,-,134.15,1.85,36.5,-,29,-,1058.5,-,-,-,-,-,59,-,-,-,7.3,-,-,-
Periplaneta americana (cockroach),14.85,-,0.95,-,35.79,18.47,-,-,-,-,-,-,-,-,-,-,57.75,-,-,-,6.43,-,-,-
Polyodon spathula (paddlefish),-,-,-,-,175,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Psammechinus (sea urchin),1,-,0.468,-,185.7,5.7,24,-,35,5,900,100,3,-,-,-,42.5,2.5,1.25,-,4,-,-,-
Psetta maxima (turbot),-,-,-,-,220,-,8.785,2.085,60,-,527.1,125.1,-,-,-,-,-,-,-,-,2.915,2.415,-,-
Salmo salar (atlantic salmon),4.55,0.95,-,-,72.5,54.5,-,-,-,-,-,-,-,-,-,-,31.95,3.75,-,-,-,-,-,-
Salmo trutta fario (trout),-,-,-,-,162,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scaphirhynchus platorynchus (shovelnose sturgeon),-,-,-,-,200,-,-,-,49,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Silurus glanis (wels catfish),-,-,-,-,130,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strongylocentrotus purpuratus (sea urchin),5.6,-,2.5,-,145.3,-,27.7,2,31.1,0.7,861.47,65.15,-,-,-,-,39.85,1.85,1.25,0.25,4.25,0.25,1.1,-
Sturnus vulgaris (starling),10.3,-,-,-,155,45,-,-,66,24,-,-,30,-,-,-,73.4,-,-,-,-,-,-,-
Taeniopygia guttata (zebra finch),11.3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.1,5.7,-,-,-,-,-,-
Tenebrio (mealworm beetle),6.2,-,1.7,-,58,42,18,12,14.45,13.55,160,140,-,-,-,-,-,-,4,-,9,6,-,-
Tripneustes (sea urchin),-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuhunnus thynnus (tuna),2.3,-,1.13,-,277.5,62.5,14.83,-,61,4,905,55,-,-,-,-,36.3,-,2,-,1.67,-,-,-